pl_rade,pl_eqt,pl_orbper,st_teff,st_mass,st_rad,rade_norm,eqt_norm,teff_norm,HSI,SCI,habitability
2.3,797.0,2.79674,5250.0,0.9,0.963515,0.2725318,0.033596497,0.76797354,0.15306415,0.76797354,0
2.3,797.0,2.808,5612.5,0.95,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.023112,1831.27,0.7365463,5250.0,0.959,0.963515,0.35947448,3.4023247e-05,0.76797354,0.17975426,0.76797354,0
1.91,797.0,0.736539,5250.0,0.9,0.963515,0.40252423,0.033596497,0.76797354,0.21806036,0.76797354,0
1.947,797.0,0.7365474,5612.5,1.015,0.98,0.387903,0.033596497,0.9205813,0.21074975,0.9205813,0
1.875,797.0,0.7365474,5172.0,0.905,0.943,0.416862,0.033596497,0.73859906,0.22522925,0.73859906,0
2.3,797.0,0.7365463,5234.0,0.905,0.943,0.2725318,0.033596497,0.7618543,0.15306415,0.7618543,0
1.856,797.0,0.736543,5272.0,0.905,0.943,0.42485812,0.033596497,0.77646786,0.2292273,0.77646786,0
2.3,797.0,0.7365478,5250.0,0.9,0.963515,0.2725318,0.033596497,0.76797354,0.15306415,0.76797354,0
2.3,797.0,0.736546,5198.0,1.015,0.98,0.2725318,0.033596497,0.74826354,0.15306415,0.74826354,0
2.3,797.0,0.7365417,5612.5,0.959,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.173,797.0,0.736546,5250.0,0.9,0.963515,0.30943722,0.033596497,0.76797354,0.17151685,0.76797354,0
2.3,797.0,0.7365445,5317.89,0.974708,0.964411,0.2725318,0.033596497,0.7944899,0.15306415,0.7944899,0
2.3,797.0,0.73654604,5612.5,0.959,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
2.08,1958.0,0.7365437,5234.0,0.905,0.943,0.33959553,1.4616884e-05,0.7618543,0.16980506,0.7618543,0
1.897,797.0,0.737,5172.0,0.873,0.954,0.4077912,0.033596497,0.73859906,0.22069384,0.73859906,0
2.3,797.0,10.339293,5250.0,0.9,0.963515,0.2725318,0.033596497,0.76797354,0.15306415,0.76797354,0
1.92,797.0,10.339293,5250.0,0.9,0.963515,0.39851907,0.033596497,0.76797354,0.21605778,0.76797354,0
2.3,797.0,0.7365515,5612.5,0.95,0.951,0.2725318,0.033596497,0.9205813,0.15306415,0.9205813,0
